Plate	Well	trans_track	region_5p	region_3p	trans_id	gene_name	target_id	notes	status	trans_notes	extra_notes	pcr_status_jerryd	fran_est_tpm	Highlighted regions can be found here:
1	1	WTC11_consolidated	chr4:2042042-2042366	chr4:2043863-2043922	FSM_48428	C4orf48	C4orf48+1	FSM-PB-specific	pilot					http://www.genome.ucsc.edu/s/gsheynkman/hg38_lrgasp_wtc11_primer_regions
1	2	WTC11_consolidated	chr17:28404662-28405317	chr17:28398703-28399641	FSM_44519	SLC46A1	SLC46A1+1	FSM-PB-specific	pilot					
1	3	WTC11_consolidated	chr19:35944582-35944982	chr19:35936839-35937541	FSM_45884	LRFN3	LRFN3+1	FSM-PB-specific	pilot	FSM present in PB but not found in ONT				
1	4	WTC11_consolidated	chr19:55648062-55648245	chr19:55652456-55652698	FSM_19966	CCDC106	CCDC106+1	FSM-PB-specific	pilot					
1	5	WTC11_consolidated	chr19:47228328-47231039	chr19:47221198-47221914	FSM_45580	BBC3	BBC3+1	FSM-PB-specific	pilot	Design primer specific to junction highlighted in region_5p				
1	6	WTC11_consolidated	chr19:58517555-58519807	chr19:58513745-58514287	FSM_45682	ZBTB45	ZBTB45+1	FSM-PB-specific	pilot	Design primer specific to junction highlighted in region_5p				
1	7	WTC11_consolidated	chr22:24423870-24433245	chr22:24440659-24441347	NIC_60087	ADORA2A	ADORA2A+1	NIC/NNC-PB-specific	pilot	Design primer specific to junction highlighted in region_5p	220828-previously mis-labeled as PB-ONT-similar			
1	8	WTC11_consolidated	chr16:695026-695252	chr16:694306-694413	NIC_57258	FBXL16	FBXL16+1	NIC/NNC-PB-specific	pilot	Design primer specific to junction highlighted in region_5p	220828-previously mis-labeled as PB-ONT-similar			
1	9	WTC11_consolidated	chr1:15409974-15410252	chr1:15425944-15428760	NIC_54729	EFHD2	EFHD2+1	NIC/NNC-PB-specific	pilot	Design primer specific to junction highlighted in region_3p	220828-previously mis-labeled as PB-ONT-similar			
1	10	WTC11_consolidated	chr1:24502993-24514454	chr1:24533106-24533240	NIC_54933	RCAN3	RCAN3+1	NIC/NNC-PB-specific	batch2	Design primer nearly centered to junction highlighted in region_5p				
1	11	WTC11_consolidated	chr5:80059759-80065450	chr5:80071035-80071158	NIC_61311	THBS4	THBS4+1	NIC/NNC-PB-specific	batch2	Design primer nearly centered to junction highlighted in region_5p				
1	12	WTC11_consolidated	chr12:116719808-116737946	chr12:116716067-116717711	NIC_56020	SPRING1	SPRING1+1	NIC/NNC-PB-specific	batch2	Design primer nearly centered to junction highlighted in region_5p				
1	13	WTC11_consolidated	chr14:49779739-49779785	chr14:49782532-49785710	NNC_63666	KLHDC2	KLHDC2+1	NIC/NNC-PB-specific	batch2	Design primer nearly centered to junction highlighted in region_3p				
1	14	WTC11_consolidated	chr9:127825480-127825600	chr9:127819944-127820044	NNC_65365	ENG	ENG+1	NIC/NNC-PB-specific	batch2		Issue with multi-exon selection - this is updated version (220831)			
1	15	WTC11_consolidated	chr19:926060-926175	chr19:966617-966816	NNC_64158	ARID3A	ARID3A+1	NIC/NNC-PB-specific	batch2					
1	16	WTC11_consolidated	chr22:20139747-20140676	chr22:20140917-20141288	NNC_64531	ZDHHC8	ZDHHC8+1	NIC/NNC-PB-specific	batch2					
1	17	WTC11_consolidated	chr9:136051831-136052045	chr9:136049763-136050160	NNC_82885	NACC2	NACC2+1	NIC/NNC-PB-specific	batch2					
1	18	WTC11_consolidated	chr19:50658489-50658948	chr19:50659155-50659260	NNC_64139	C19orf81	C19orf81+1	NIC/NNC-PB-specific	batch2		Issue with region_5p too short - selected longer region (220904)			
1	19	WTC11_consolidated	chr3:49164170-49166312	chr3:49162868-49163232	FSM_25821	CCDC71	CCDC71+1	FSM-ONT-specific	pilot					
1	20	WTC11_consolidated	chr11:66480435-66482239	chr11:66491267-66491612	FSM_374933	DPP3	DPP3+1	FSM-ONT-specific	pilot	Design primer specific to junction highlighted in region_5p				
1	21	WTC11_consolidated	chr15:52180132-52181192	chr15:52205138-52205695	FSM_12039	CERNA1	CERNA1+1	FSM-ONT-specific	pilot					
1	22	WTC11_consolidated	chr3:23807316-23887619	chr3:23890525-23890983	FSM_26800	UBE2E1	UBE2E1+1	FSM-ONT-specific	batch2	Design primer nearly centered to junction highlighted in region_5p				
1	23	WTC11_consolidated	chr14:90259164-90263389	chr14:90268250-90269503	FSM_11094	PSMC1	PSMC1+1	FSM-ONT-specific	batch2	Design primer nearly centered to junction highlighted in region_5p				
1	24	WTC11_consolidated	chr7:97869003-97872380	chr7:97858297-97858407	FSM_33192	ASNS	ASNS+1	FSM-ONT-specific	batch2	Design primer nearly centered to junction highlighted in region_5p	Issue with multi-exon selection - this is updated version (220831)			
1	25	WTC11_consolidated	chr1:161042599-161042663	chr1:161040350-161040563	NIC_387124	USF1	USF1+1	NIC/NNC-ONT-specific	batch2					
1	26	WTC11_consolidated	chr11:65040955-65041082	chr11:65044248-65044624	NIC_39196	SAC3D1	SAC3D1+1	NIC/NNC-ONT-specific	batch2					
1	27	WTC11_consolidated	chr7:23343876-23470296	chr7:23311889-23312513	NIC_405674	IGF2BP3	IGF2BP3+1	NIC/NNC-ONT-specific	batch2	Design primer nearly centered to junction highlighted in region_5p				
